src,dst,weight
에,망가,0.35912275314331055
에,여노,0.35720619559288025
에,교회,0.34172871708869934
에,법무부 장관,0.3415338695049286
에,셀프주유소,0.33691486716270447
에,지도자,0.336843878030777
에,앞니,0.33440446853637695
에,남장,0.3339831531047821
에,다이아몬드,0.33102819323539734
에,넥슨,0.32963770627975464
가,지선 ASMR,0.3511061668395996
가,엉덩이,0.3491857945919037
가,성견,0.3289663791656494
가,협박,0.32834699749946594
가,재혼,0.3264714777469635
가,뒷담,0.3248155415058136
가,무당,0.32394787669181824
가,코,0.31401538848876953
가,비번,0.3136252760887146
가,해달,0.3134321868419647
ㅣ,박준형,0.3957766592502594
ㅣ,와썹맨,0.38538214564323425
ㅣ,컬러,0.34890833497047424
ㅣ,고민툰,0.34541183710098267
ㅣ,오영주,0.3441695272922516
ㅣ,DRAMA,0.3423468768596649
ㅣ,REAL,0.3390619158744812
ㅣ,Dog,0.33752235770225525
ㅣ,야코,0.3321995437145233
ㅣ,펜 리,0.33154556155204773
ㅋㅋ,ㅋ,0.6586399078369141
ㅋㅋ,동네놈들,0.5126653909683228
ㅋㅋ,당하다,0.5086267590522766
ㅋㅋ,hidden,0.5001103281974792
ㅋㅋ,캌,0.4990132451057434
ㅋㅋ,여자반,0.4797614812850952
ㅋㅋ,박소영,0.47966089844703674
ㅋㅋ,코와이네,0.47883591055870056
ㅋㅋ,공항도둑,0.4768935441970825
ㅋㅋ,빡침,0.4684997797012329
한,테,0.40715914964675903
한,개빠,0.3414582312107086
한,권력,0.3397878110408783
한,통발,0.3359791934490204
한,미국가재,0.33493730425834656
한,경계,0.33110520243644714
한,전혀,0.3272729516029358
한,헤드,0.32385966181755066
한,맘스터치,0.31505975127220154
한,망신,0.3146591782569885
다,ㄵ,0.34200578927993774
다,다구,0.3321101665496826
다,옴,0.3301151394844055
다,ㅆ,0.3273073732852936
다,인류,0.3270018994808197
다,넘어가,0.3269751965999603
다,구로,0.32622599601745605
다,어떡해,0.3246519863605499
다,불행,0.32385343313217163
다,예전,0.3227977752685547
은,의지,0.3764621317386627
은,장모,0.3719349503517151
은,축구선수,0.3707265555858612
은,동심 파괴,0.35749614238739014
은,새엄마,0.35727956891059875
은,운빨,0.3569274842739105
은,운동학,0.35458770394325256
은,보가,0.35301026701927185
은,ZZ,0.35047054290771484
은,사랑합니다,0.345994234085083
들,멤버,0.3695058226585388
들,시멘트,0.36085790395736694
들,상하,0.33714598417282104
들,승리호,0.33519628643989563
들,집게,0.33415696024894714
들,김태리,0.33145636320114136
들,배달앱,0.3287350833415985
들,소중,0.3282478153705597
들,운동학,0.32448726892471313
들,군부,0.32002267241477966
어,트램폴린,0.40996959805488586
어,골프공,0.3855836093425751
어,쎄리,0.381828635931015
어,리네,0.3790246546268463
어,의지,0.3699553906917572
어,추워,0.36782124638557434
어,뷔페,0.36698228120803833
어,서예지,0.36215218901634216
어,47년,0.3599150776863098
어,iMac,0.359549880027771
ㅡ,디어,0.55716872215271
ㅡ,ㄷ,0.4796014428138733
ㅡ,안조,0.42163267731666565
ㅡ,보낼 수,0.38267409801483154
ㅡ,세뱃돈,0.3722260892391205
ㅡ,만수,0.37134501338005066
ㅡ,성교육,0.36949530243873596
ㅡ,축구심판,0.3678666651248932
ㅡ,박시영,0.36460480093955994
ㅡ,무중력,0.36384138464927673
ㄱ,트,0.44554877281188965
ㄱ,썸네일,0.4053725004196167
ㄱ,핫도그,0.39878562092781067
ㄱ,배당,0.3908419609069824
ㄱ,성격,0.3895949423313141
ㄱ,카리스마,0.3798525035381317
ㄱ,검증,0.3779294788837433
ㄱ,원고,0.37764713168144226
ㄱ,가드,0.3775714635848999
ㄱ,빼빼로데이,0.37390273809432983
요,주세,0.47718188166618347
요,하세,0.470104455947876
요,보세,0.4521443545818329
요,마세,0.4378170073032379
요,드세,0.42066556215286255
요,이렇게 너,0.41735997796058655
요,축하해,0.4147473871707916
요,셀프주유소,0.4117181599140167
요,주문,0.40437957644462585
요,서예지,0.3926883637905121
2,탄,0.4063413143157959
2,기억상실,0.4020252525806427
2,재현,0.3711399435997009
2,작사가,0.3630812168121338
2,나천재,0.36122584342956543
2,회차,0.3589712679386139
2,계급,0.3569897413253784
2,예서,0.3537786602973938
2,1030,0.3529054820537567
2,임찬규,0.34926313161849976
하,는,0.423366904258728
하,건설현장,0.3863355815410614
하,똑똑,0.38571059703826904
하,내 이름은,0.3668232262134552
하,말랑이,0.36576908826828003
하,알렉스,0.3619597256183624
하,전혀,0.35756421089172363
하,강인,0.35613423585891724
하,헐리웃,0.3542849123477936
하,마운틴,0.34828346967697144
고,화물,0.38574621081352234
고,곤,0.3844486474990845
고,도배,0.37818577885627747
고,소방서,0.36851078271865845
고,LG로,0.3633100986480713
고,해달,0.3617502748966217
고,절교,0.3557555079460144
고,타짜,0.35471826791763306
고,달려,0.3512036204338074
고,넘어가,0.3437546193599701
를,킬링벌스,0.3665584325790405
를,달수네,0.35848209261894226
를,킹크랩,0.35165679454803467
를,일회용,0.3484867513179779
를,변기,0.34540534019470215
를,죄,0.3440174162387848
를,기가,0.34226250648498535
를,원효대사,0.3357192873954773
를,포획,0.33413928747177124
를,세용,0.3335210978984833
ㄷ,디어,0.5607382655143738
ㄷ,ㅟ,0.5054144859313965
ㄷ,ㅡ,0.4796014726161957
ㄷ,바,0.4769260585308075
ㄷ,성교육,0.45275846123695374
ㄷ,진천댁,0.4412437975406647
ㄷ,최현우,0.43542030453681946
ㄷ,윤주희,0.42881593108177185
ㄷ,테니스 선수,0.41464224457740784
ㄷ,일대일,0.41229405999183655
E,NG,0.6903689503669739
E,RG,0.4950714707374573
E,CHN,0.49343428015708923
E,CHA,0.4862658977508545
E,P7,0.4807523488998413
E,Krystal,0.4789011776447296
E,JUN,0.4629877209663391
E,P3,0.45663875341415405
E,RTS,0.45303741097450256
E,P5,0.44892215728759766
ㅕ,김ㅋㅋ,0.38884732127189636
ㅕ,날아,0.3826274871826172
ㅕ,ㅅㄱ,0.3810199201107025
ㅕ,무당,0.36506879329681396
ㅕ,Frozen,0.363301157951355
ㅕ,다니고,0.35879701375961304
ㅕ,니 바,0.3552902638912201
ㅕ,흥분,0.3471630811691284
ㅕ,He is,0.34460070729255676
ㅕ,여자반,0.34235474467277527
습니다,ㅆ,0.4511388838291168
습니다,He is,0.4435316324234009
습니다,팡이요,0.41374215483665466
습니다,이이,0.4061613976955414
습니다,again,0.40526336431503296
습니다,Frozen,0.40250325202941895
습니다,언에듀케이티드,0.4012201130390167
습니다,K5,0.40071049332618713
습니다,프레스티지,0.3923763334751129
습니다,노블레스,0.3922436237335205
EP,153,0.49062681198120117
EP,GOING SEVENTEEN,0.4898732304573059
EP,TTT,0.4811045527458191
EP,천고마비,0.4780275523662567
EP,.22,0.47395482659339905
EP,Jump,0.4722836911678314
EP,177,0.47196438908576965
EP,문명특급,0.465976744890213
EP,Lie,0.4620327055454254
EP,서류상 아빠,0.4542699158191681
ㄹ,차르,0.40920042991638184
ㄹ,할지,0.3873739540576935
ㄹ,가이드,0.38034752011299133
ㄹ,산타,0.37755337357521057
ㄹ,라진,0.37235012650489807
ㄹ,마이너스,0.3618509769439697
ㄹ,서프라이즈,0.3600599467754364
ㄹ,타이어뱅크,0.35993847250938416
ㄹ,루어,0.35938718914985657
ㄹ,Allure,0.3578527271747589
만,나다,0.45566093921661377
만,오랜,0.4192867875099182
만,꽁지머리,0.38251882791519165
만,여노,0.37470054626464844
만,망가,0.3649356961250305
만,25년,0.36178362369537354
만,잘라,0.35391539335250854
만,하루에,0.35273799300193787
만,90년,0.34739893674850464
만,트램폴린,0.3426244556903839
ㅅ,처,0.5780623555183411
ㅅ,생애,0.4895773231983185
ㅅ,바우,0.41743847727775574
ㅅ,캬바쿠라,0.41723740100860596
ㅅ,알렉스,0.41546595096588135
ㅅ,내 이름은,0.4039786756038666
ㅅ,시범경기,0.4036526381969452
ㅅ,체리,0.4011337459087372
ㅅ,조두팔,0.3943350613117218
ㅅ,이카,0.38791096210479736
해,ㅆ,0.42369189858436584
해,리햅,0.37625497579574585
해,김영희,0.3714659512042999
해,보고 싶어,0.368161678314209
해,가시나,0.36422616243362427
해,주차장,0.36278611421585083
해,못해,0.3596010208129883
해,안해,0.35827627778053284
해,서우,0.3569013476371765
해,감자전,0.35594215989112854
...,스키,0.3406311273574829
...,사드세요,0.3344082534313202
...,바비,0.33358702063560486
...,블리자드,0.3314726948738098
...,의대생,0.3221358358860016
...,썹,0.3179040849208832
...,축제,0.31724444031715393
...,철원,0.3164089322090149
...,영업소,0.31605586409568787
...,feat,0.31516438722610474
면,누르,0.45345091819763184
면,후회,0.43157073855400085
면,하온,0.4218592047691345
면,인플레,0.4165702164173126
면,으,0.40868404507637024
면,지원금,0.4048995077610016
면,안보,0.39700284600257874
면,버리기,0.39643341302871704
면,맹견,0.39628705382347107
면,윤형빈,0.3955490291118622
에서,라스베가스,0.37616807222366333
에서,마운드,0.3665548264980316
에서,고비,0.3620465397834778
에서,구종,0.3519996702671051
에서,마트,0.3519100844860077
에서,바위,0.3485807776451111
에서,예방접종,0.3460380434989929
에서,슈린,0.34329769015312195
에서,루시퍼,0.3424094319343567
에서,제일,0.33840855956077576
1,0시,0.43857812881469727
1,230,0.38846689462661743
1,41,0.37913480401039124
1,Lie,0.3773096203804016
1,정규재,0.36647316813468933
1,MIL,0.3661659061908722
1,천고마비,0.35824960470199585
1,Jump,0.3553164601325989
1,SA,0.3534809648990631
1,비디오스타,0.35189568996429443
ㅋ,ㅋㅋ,0.6586399078369141
ㅋ,여자반,0.4512282609939575
ㅋ,hidden,0.4362122714519501
ㅋ,박소영,0.42803192138671875
ㅋ,당하다,0.42515116930007935
ㅋ,공항도둑,0.42467668652534485
ㅋ,다니고,0.4199082851409912
ㅋ,김ㅋㅋ,0.4146440923213959
ㅋ,캌,0.4118962585926056
ㅋ,코와이네,0.4024457633495331
방송,210,0.6617364883422852
방송,907,0.6002622842788696
방송,190,0.5968775153160095
방송,080,0.5957579612731934
방송,520,0.5936548113822937
방송,MBC,0.5896183252334595
방송,KBS,0.5837622880935669
방송,605,0.5834817886352539
방송,118,0.5800167322158813
방송,403,0.579695463180542
와,함께,0.38392123579978943
와,시킴,0.3494233191013336
와,브금,0.3490634858608246
와,돔,0.3436925411224365
와,정신과,0.342797189950943
와,유리창,0.3352506458759308
와,물리치료,0.3335036039352417
와,스파크,0.331462025642395
와,아귀,0.32863736152648926
와,사와,0.3279980719089508
게,쉽,0.38834819197654724
게,표현,0.3791760802268982
게,무드등,0.36986181139945984
게,게다,0.3499871790409088
게,다울,0.3463958501815796
게,넘어가,0.3426607847213745
게,절대로,0.34154194593429565
게,앞니,0.3405974805355072
게,수치,0.3399745523929596
게,김명철,0.3373349606990814
먹,접시,0.45192956924438477
먹,47년,0.4392748773097992
먹,칼국수,0.4344266653060913
먹,붕어빵,0.4294319748878479
먹,미역,0.42601943016052246
먹,배달앱,0.42320749163627625
먹,살린,0.4226042330265045
먹,무르,0.42223691940307617
먹,꽃등심,0.4221535325050354
먹,공복,0.42075276374816895
되,무드등,0.3672758638858795
되,목회자,0.3632970154285431
되,지연수,0.3588949143886566
되,출제,0.35877272486686707
되,전혀,0.35808175802230835
되,퇴교,0.35745733976364136
되,사도,0.35169675946235657
되,생계,0.34988048672676086
되,동작,0.34669288992881775
되,학원,0.3463679552078247
니다,합,0.6104212403297424
니다,입,0.49540793895721436
니다,김민우,0.4769045412540436
니다,드립,0.4740338921546936
니다,안녕하세요,0.4710041880607605
니다,강오리,0.4698934257030487
니다,BU,0.46079546213150024
니다,바노,0.4537709951400757
니다,기구,0.44849199056625366
니다,보겸,0.4437645971775055
까,사야,0.4501086175441742
까,예씨,0.4213623106479645
까,이세,0.4194493293762207
까,유이뿅,0.4086114168167114
까,깝스,0.4018074870109558
까,이베스트투자증권,0.39476466178894043
까,장하나,0.3912017047405243
까,노그,0.3910459280014038
까,80년대,0.3897661864757538
까,전주혜,0.38680973649024963
ㅓ,부들,0.39997127652168274
ㅓ,ㄸ,0.39422738552093506
ㅓ,작비,0.388779878616333
ㅓ,장난,0.3674851953983307
ㅓ,무당,0.36585915088653564
ㅓ,버리기,0.3656907081604004
ㅓ,로키산맥,0.3579464554786682
ㅓ,탱,0.3569559156894684
ㅓ,망가,0.34765076637268066
ㅓ,컴퓨터,0.3474971652030945
3,GDI,0.3719888925552368
3,견종,0.36715635657310486
3,트레인,0.36367613077163696
3,프로필,0.3561023473739624
3,Genesis,0.34978631138801575
3,지2,0.34856903553009033
3,AWD,0.3480986952781677
3,3.14,0.34322434663772583
3,2022,0.340459406375885
3,슬기로운 폐급생활,0.339104026556015
ㅂ,ㅘ,0.5994319915771484
ㅂ,모스,0.5271139144897461
ㅂ,동작,0.44041335582733154
ㅂ,지그,0.43465662002563477
ㅂ,단계,0.42415791749954224
ㅂ,상남자 ,0.4232456088066101
ㅂ,목회자,0.39175355434417725
ㅂ,환이,0.3844999074935913
ㅂ,안압,0.3843082785606384
ㅂ,썹,0.382640540599823
개,공,0.8101639747619629
개,마블,0.5383806228637695
개,마동석,0.5052137970924377
개,미공,0.503855288028717
개,정승,0.5017964243888855
개,네트워크,0.49821630120277405
개,황공,0.4970840513706207
개,대공,0.4901430308818817
개,미와,0.48428836464881897
개,헤지펀드,0.4837544858455658
NG,E,0.6903689503669739
NG,SU,0.46823403239250183
NG,CHN,0.46103334426879883
NG,P1,0.4591681957244873
NG,P7,0.4590015113353729
NG,여은파,0.45637091994285583
NG,톱스타,0.4478839039802551
NG,RG,0.4403841197490692
NG,Krystal,0.4396233558654785
NG,ND,0.43956881761550903
ㅔ,학,0.6725195050239563
ㅔ,윙,0.4438505172729492
ㅔ,한게,0.4138437509536743
ㅔ,다구,0.37527573108673096
ㅔ,의심,0.37148797512054443
ㅔ,부족,0.37118297815322876
ㅔ,품에,0.36622220277786255
ㅔ,소신,0.363072007894516
ㅔ,당당,0.362652450799942
ㅔ,25사,0.36177948117256165
로,제대,0.5564800500869751
로,군부대,0.38958385586738586
로,전주,0.37961405515670776
로,면회,0.37651148438453674
로,워킹맘,0.37459060549736023
로,외출,0.36691269278526306
로,누르기,0.3635465204715729
로,홀,0.36109524965286255
로,집안,0.35915490984916687
로,찌릿찌릿,0.34846463799476624
ㅁ,짝,0.4912624955177307
ㅁ,허,0.42338818311691284
ㅁ,무치,0.42180511355400085
ㅁ,ㅁㄱ,0.40716564655303955
ㅁ,밀수,0.40679699182510376
ㅁ,아나,0.4061993956565857
ㅁ,잡기,0.40559089183807373
ㅁ,백반,0.403283029794693
ㅁ,시저,0.39848190546035767
ㅁ,공릉,0.3977257013320923
ㅇ,등자,0.642970860004425
ㅇ,ㅚ,0.4654185473918915
ㅇ,진해,0.45413658022880554
ㅇ,콩국수,0.440302312374115
ㅇ,당자,0.4338710308074951
ㅇ,땡모반,0.4282209277153015
ㅇ,리세,0.4214745759963989
ㅇ,러비더비,0.4169772267341614
ㅇ,기 기,0.4104824960231781
ㅇ,NEW,0.409397155046463
과,연,0.5494624972343445
과,함께,0.4447901248931885
과,스파크,0.41773557662963867
과,유리창,0.4068557024002075
과,헬멧,0.3871305584907532
과,데코,0.3853245675563812
과,니들,0.3778270483016968
과,펀치,0.375532865524292
과,글라스,0.37315359711647034
과,원주민,0.3680286705493927
ㄲ,ㅗ,0.5670750141143799
ㄲ,렝,0.482927531003952
ㄲ,장물,0.4259108006954193
ㄲ,김민기,0.4234980344772339
ㄲ,그까이꺼,0.4149651825428009
ㄲ,어마,0.4145248532295227
ㄲ,챔,0.413039892911911
ㄲ,족보,0.41119617223739624
ㄲ,하식,0.40065836906433105
ㄲ,전지적참견시점,0.3945944607257843
집,주소,0.38176921010017395
집,대선,0.37110424041748047
집,찜질방,0.3669567108154297
집,전집,0.3656173348426819
집,짐승,0.36464282870292664
집,지은,0.3630509376525879
